,Date,Start (ET),Visitor/Neutral,Home/Neutral,Arena
39,2023-10-26,,Crvena zvezda Meridianbet,Partizan Mozzart Bet,Location not found
40,2023-10-26,,Barcelona,Real Madrid,WiZink Center
41,2023-10-27,,Fenerbahçe Beko,Bayern München,Location not found
42,2023-10-27,,Baskonia,Panathinaikos,O.A.K.A. Olympic Indoor Hall
43,2023-10-27,,Virtus Segafredo Bologna,LDLC ASVEL,Astroballe
44,2023-10-27,,Valencia Basket,Žalgiris,Žalgirio Arena
45,2023-10-31,,Maccabi Playtika Tel Aviv,EA7 Emporio Armani Milano,Location not found
46,2023-11-02,,Real Madrid,Maccabi Playtika Tel Aviv,Location not found
47,2023-11-02,,AS Monaco,EA7 Emporio Armani Milano,Location not found
48,2023-11-02,,Bayern München,Crvena zvezda Meridianbet,Location not found
49,2023-11-02,,Olympiacos,Fenerbahçe Beko,Ülker Sports Arena
50,2023-11-02,,LDLC ASVEL,Žalgiris,Žalgirio Arena
51,2023-11-03,,Panathinaikos,Barcelona,Palau Blaugrana
52,2023-11-02,,ALBA Berlin,Valencia Basket,Pavelló Municipal Font de San Lluís
53,2023-11-03,,Anadolu Efes,Virtus Segafredo Bologna,Location not found
54,2023-11-03,,Partizan Mozzart Bet,Baskonia,Fernando Buesa Arena
55,2023-11-09,,Žalgiris,Anadolu Efes,Sinan Erdem Dome
56,2023-11-09,,Bayern München,Maccabi Playtika Tel Aviv,Location not found
57,2023-11-09,,Valencia Basket,EA7 Emporio Armani Milano,Location not found
58,2023-11-09,,Baskonia,Olympiacos,Peace and Friendship Stadium
59,2023-11-09,,Fenerbahçe Beko,Partizan Mozzart Bet,Location not found
60,2023-11-09,,Virtus Segafredo Bologna,Real Madrid,WiZink Center
61,2023-11-10,,Panathinaikos,ALBA Berlin,Location not found
62,2023-11-10,,Crvena zvezda Meridianbet,Barcelona,Palau Blaugrana
63,2023-11-10,,LDLC ASVEL,AS Monaco,Location not found
64,2023-11-14,,Olympiacos,Maccabi Playtika Tel Aviv,Location not found
65,2023-11-14,,Anadolu Efes,AS Monaco,Location not found
66,2023-11-14,,Fenerbahçe Beko,Crvena zvezda Meridianbet,Location not found
67,2023-11-14,,Real Madrid,Valencia Basket,Pavelló Municipal Font de San Lluís
68,2023-11-14,,EA7 Emporio Armani Milano,Virtus Segafredo Bologna,Location not found
69,2023-11-15,,LDLC ASVEL,ALBA Berlin,Location not found
70,2023-11-15,,Partizan Mozzart Bet,Bayern München,Location not found
71,2023-11-15,,Žalgiris,Panathinaikos,O.A.K.A. Olympic Indoor Hall
72,2023-11-15,,Barcelona,Baskonia,Fernando Buesa Arena
73,2023-11-16,,Anadolu Efes,EA7 Emporio Armani Milano,Location not found
74,2023-11-16,,Crvena zvezda Meridianbet,Olympiacos,Peace and Friendship Stadium
75,2023-11-16,,AS Monaco,Real Madrid,WiZink Center
76,2023-11-16,,Maccabi Playtika Tel Aviv,Fenerbahçe Beko,Ülker Sports Arena
77,2023-11-17,,Valencia Basket,Barcelona,Palau Blaugrana
78,2023-11-17,,Virtus Segafredo Bologna,Panathinaikos,O.A.K.A. Olympic Indoor Hall
79,2023-11-17,,ALBA Berlin,Partizan Mozzart Bet,Location not found
80,2023-11-17,,Baskonia,LDLC ASVEL,Astroballe
81,2023-11-17,,Bayern München,Žalgiris,Žalgirio Arena
82,2023-11-23,,Barcelona,Maccabi Playtika Tel Aviv,Location not found
83,2023-11-23,,Valencia Basket,Panathinaikos,O.A.K.A. Olympic Indoor Hall
84,2023-11-23,,ALBA Berlin,Real Madrid,WiZink Center
85,2023-11-23,,Bayern München,LDLC ASVEL,Astroballe
86,2023-11-23,,Fenerbahçe Beko,Virtus Segafredo Bologna,Location not found
87,2023-11-24,,Partizan Mozzart Bet,Anadolu Efes,Sinan Erdem Dome
88,2023-11-24,,Žalgiris,Olympiacos,Peace and Friendship Stadium
89,2023-11-24,,EA7 Emporio Armani Milano,Crvena zvezda Meridianbet,Location not found
90,2023-11-24,,AS Monaco,Baskonia,Fernando Buesa Arena
91,2023-11-28,,Real Madrid,Maccabi Playtika Tel Aviv,Location not found
92,2023-11-30,,Virtus Segafredo Bologna,Bayern München,Location not found
93,2023-11-30,,ALBA Berlin,Maccabi Playtika Tel Aviv,Location not found
94,2023-11-30,,Olympiacos,AS Monaco,Location not found
95,2023-11-30,,Panathinaikos,Partizan Mozzart Bet,Location not found
96,2023-11-30,,Real Madrid,Fenerbahçe Beko,Ülker Sports Arena
97,2023-12-01,,LDLC ASVEL,Barcelona,Palau Blaugrana
98,2023-11-30,,Žalgiris,EA7 Emporio Armani Milano,Location not found
99,2023-12-01,,Anadolu Efes,Crvena zvezda Meridianbet,Location not found
100,2023-12-01,,Baskonia,Valencia Basket,Pavelló Municipal Font de San Lluís
101,2023-12-05,,Žalgiris,ALBA Berlin,Location not found
102,2023-12-05,,Panathinaikos,Anadolu Efes,Sinan Erdem Dome
103,2023-12-05,,EA7 Emporio Armani Milano,Bayern München,Location not found
104,2023-12-05,,Real Madrid,Olympiacos,Peace and Friendship Stadium
105,2023-12-05,,AS Monaco,Partizan Mozzart Bet,Location not found
106,2023-12-06,,Crvena zvezda Meridianbet,Valencia Basket,Pavelló Municipal Font de San Lluís
107,2023-12-06,,Maccabi Playtika Tel Aviv,LDLC ASVEL,Astroballe
108,2023-12-06,,Barcelona,Virtus Segafredo Bologna,Location not found
109,2023-12-06,,Fenerbahçe Beko,Baskonia,Fernando Buesa Arena
110,2023-12-07,,Anadolu Efes,ALBA Berlin,Location not found
111,2023-12-07,,Real Madrid,Panathinaikos,O.A.K.A. Olympic Indoor Hall
112,2023-12-07,,EA7 Emporio Armani Milano,Partizan Mozzart Bet,Location not found
113,2023-12-08,,Fenerbahçe Beko,Barcelona,Palau Blaugrana
114,2023-12-08,,Bayern München,Olympiacos,Peace and Friendship Stadium
115,2023-12-08,,Valencia Basket,LDLC ASVEL,Astroballe
116,2023-12-08,,Maccabi Playtika Tel Aviv,Virtus Segafredo Bologna,Location not found
117,2023-12-08,,Crvena zvezda Meridianbet,Baskonia,Fernando Buesa Arena
118,2023-12-08,,AS Monaco,Žalgiris,Žalgirio Arena
119,2023-12-14,,Maccabi Playtika Tel Aviv,Anadolu Efes,Sinan Erdem Dome
120,2023-12-14,,Bayern München,Real Madrid,WiZink Center
121,2023-12-14,,Panathinaikos,LDLC ASVEL,Astroballe
122,2023-12-14,,Virtus Segafredo Bologna,Baskonia,Fernando Buesa Arena
123,2023-12-14,,Partizan Mozzart Bet,Žalgiris,Žalgirio Arena
124,2023-12-15,,EA7 Emporio Armani Milano,Barcelona,Palau Blaugrana
125,2023-12-15,,Valencia Basket,Olympiacos,Peace and Friendship Stadium
126,2023-12-14,,ALBA Berlin,Crvena zvezda Meridianbet,Location not found
127,2023-12-15,,AS Monaco,Fenerbahçe Beko,Ülker Sports Arena
128,2023-12-19,,Barcelona,ALBA Berlin,Location not found
129,2023-12-19,,Baskonia,Maccabi Playtika Tel Aviv,Location not found
130,2023-12-19,,Real Madrid,Crvena zvezda Meridianbet,Location not found
131,2023-12-19,,Partizan Mozzart Bet,Valencia Basket,Pavelló Municipal Font de San Lluís
132,2023-12-19,,Olympiacos,Virtus Segafredo Bologna,Location not found
133,2023-12-20,,Anadolu Efes,Bayern München,Location not found
134,2023-12-20,,LDLC ASVEL,EA7 Emporio Armani Milano,Location not found
135,2023-12-20,,Panathinaikos,AS Monaco,Location not found
136,2023-12-20,,Žalgiris,Fenerbahçe Beko,Ülker Sports Arena
137,2023-12-21,,Crvena zvezda Meridianbet,Maccabi Playtika Tel Aviv,Location not found
138,2023-12-21,,Partizan Mozzart Bet,Real Madrid,WiZink Center
139,2023-12-21,,Virtus Segafredo Bologna,Valencia Basket,Pavelló Municipal Font de San Lluís
140,2023-12-22,,Fenerbahçe Beko,ALBA Berlin,Location not found
141,2023-12-22,,Baskonia,Anadolu Efes,Sinan Erdem Dome
142,2023-12-22,,AS Monaco,Bayern München,Location not found
143,2023-12-22,,Panathinaikos,EA7 Emporio Armani Milano,Location not found
144,2023-12-22,,Olympiacos,LDLC ASVEL,Astroballe
145,2023-12-22,,Barcelona,Žalgiris,Žalgirio Arena
146,2023-12-28,,Fenerbahçe Beko,Anadolu Efes,Sinan Erdem Dome
147,2023-12-28,,Valencia Basket,Bayern München,Location not found
148,2023-12-28,,Baskonia,EA7 Emporio Armani Milano,Location not found
149,2023-12-28,,Crvena zvezda Meridianbet,Panathinaikos,O.A.K.A. Olympic Indoor Hall
150,2023-12-28,,Real Madrid,LDLC ASVEL,Astroballe
151,2023-12-28,,Maccabi Playtika Tel Aviv,Žalgiris,Žalgirio Arena
152,2023-12-29,,Olympiacos,ALBA Berlin,Location not found
153,2023-12-29,,Barcelona,AS Monaco,Location not found
154,2023-12-28,,Virtus Segafredo Bologna,Partizan Mozzart Bet,Location not found
155,2024-01-02,,AS Monaco,Maccabi Playtika Tel Aviv,Location not found
156,2024-01-02,,EA7 Emporio Armani Milano,Olympiacos,Peace and Friendship Stadium
157,2024-01-02,,LDLC ASVEL,Partizan Mozzart Bet,Location not found
158,2024-01-02,,Crvena zvezda Meridianbet,Fenerbahçe Beko,Ülker Sports Arena
159,2024-01-02,,ALBA Berlin,Žalgiris,Žalgirio Arena
160,2024-01-03,,Real Madrid,Barcelona,Palau Blaugrana
161,2024-01-03,,Anadolu Efes,Valencia Basket,Pavelló Municipal Font de San Lluís
162,2024-01-03,,Bayern München,Virtus Segafredo Bologna,Location not found
163,2024-01-03,,Panathinaikos,Baskonia,Fernando Buesa Arena
164,2023-11-16,,Fenerbahçe Beko,Maccabi Playtika Tel Aviv,Location not found
165,2024-01-04,,AS Monaco,Olympiacos,Peace and Friendship Stadium
166,2024-01-04,,Partizan Mozzart Bet,Crvena zvezda Meridianbet,Location not found
167,2024-01-04,,Maccabi Playtika Tel Aviv,Fenerbahçe Beko,Ülker Sports Arena
168,2024-01-04,,Žalgiris,LDLC ASVEL,Astroballe
169,2024-01-05,,Virtus Segafredo Bologna,ALBA Berlin,Location not found
170,2024-01-05,,Baskonia,Barcelona,Palau Blaugrana
171,2024-01-05,,Bayern München,EA7 Emporio Armani Milano,Location not found
172,2024-01-05,,Anadolu Efes,Real Madrid,WiZink Center
173,2024-01-05,,Panathinaikos,Valencia Basket,Pavelló Municipal Font de San Lluís
174,2024-01-09,,Real Madrid,Bayern München,Location not found
175,2024-01-09,,ALBA Berlin,EA7 Emporio Armani Milano,Location not found
176,2024-01-09,,Baskonia,AS Monaco,Location not found
177,2024-01-09,,Anadolu Efes,Panathinaikos,O.A.K.A. Olympic Indoor Hall
178,2024-01-09,,Partizan Mozzart Bet,Fenerbahçe Beko,Ülker Sports Arena
179,2024-01-09,,Žalgiris,Valencia Basket,Pavelló Municipal Font de San Lluís
180,2024-01-09,,Crvena zvezda Meridianbet,LDLC ASVEL,Astroballe
181,2024-01-10,,Olympiacos,Barcelona,Palau Blaugrana
182,2024-01-10,,Virtus Segafredo Bologna,Maccabi Playtika Tel Aviv,Location not found
183,2024-01-11,,Crvena zvezda Meridianbet,EA7 Emporio Armani Milano,Location not found
184,2024-01-11,,AS Monaco,Panathinaikos,O.A.K.A. Olympic Indoor Hall
185,2024-01-11,,Valencia Basket,Real Madrid,WiZink Center
186,2024-01-11,,Bayern München,Fenerbahçe Beko,Ülker Sports Arena
187,2024-01-12,,Virtus Segafredo Bologna,Anadolu Efes,Sinan Erdem Dome
188,2024-01-12,,Žalgiris,Barcelona,Palau Blaugrana
189,2024-01-12,,Maccabi Playtika Tel Aviv,Partizan Mozzart Bet,Location not found
190,2024-01-12,,ALBA Berlin,LDLC ASVEL,Astroballe
191,2024-01-12,,Olympiacos,Baskonia,Fernando Buesa Arena
192,2024-01-18,,Bayern München,ALBA Berlin,Location not found
193,2024-01-18,,Barcelona,Anadolu Efes,Sinan Erdem Dome
194,2024-01-18,,Maccabi Playtika Tel Aviv,Olympiacos,Peace and Friendship Stadium
195,2024-01-18,,Baskonia,Crvena zvezda Meridianbet,Location not found
196,2024-01-18,,LDLC ASVEL,Virtus Segafredo Bologna,Location not found
197,2024-01-19,,Real Madrid,AS Monaco,Location not found
198,2024-01-19,,Partizan Mozzart Bet,Panathinaikos,O.A.K.A. Olympic Indoor Hall
199,2024-01-19,,EA7 Emporio Armani Milano,Valencia Basket,Pavelló Municipal Font de San Lluís
200,2024-01-19,,Fenerbahçe Beko,Žalgiris,Žalgirio Arena
201,2024-01-25,,Crvena zvezda Meridianbet,ALBA Berlin,Location not found
202,2024-01-25,,LDLC ASVEL,Bayern München,Location not found
203,2024-01-25,,Panathinaikos,Maccabi Playtika Tel Aviv,Location not found
204,2024-01-25,,Olympiacos,Real Madrid,WiZink Center
205,2024-01-25,,Virtus Segafredo Bologna,Fenerbahçe Beko,Ülker Sports Arena
206,2024-01-26,,AS Monaco,Anadolu Efes,Sinan Erdem Dome
207,2024-01-26,,Barcelona,EA7 Emporio Armani Milano,Location not found
208,2024-01-26,,Žalgiris,Partizan Mozzart Bet,Location not found
209,2024-01-26,,Valencia Basket,Baskonia,Fernando Buesa Arena
210,2024-01-30,,Baskonia,Bayern München,Location not found
211,2024-01-30,,ALBA Berlin,Olympiacos,Peace and Friendship Stadium
212,2024-01-30,,Maccabi Playtika Tel Aviv,Real Madrid,WiZink Center
213,2024-01-30,,Valencia Basket,Crvena zvezda Meridianbet,Location not found
214,2024-01-30,,Fenerbahçe Beko,LDLC ASVEL,Astroballe
215,2024-01-31,,Virtus Segafredo Bologna,Barcelona,Palau Blaugrana
216,2024-01-31,,Partizan Mozzart Bet,AS Monaco,Location not found
217,2024-01-31,,EA7 Emporio Armani Milano,Panathinaikos,O.A.K.A. Olympic Indoor Hall
218,2024-01-31,,Anadolu Efes,Žalgiris,Žalgirio Arena
219,2024-02-01,,Valencia Basket,ALBA Berlin,Location not found
220,2024-02-01,,Olympiacos,Bayern München,Location not found
221,2024-02-01,,LDLC ASVEL,Real Madrid,WiZink Center
222,2024-02-01,,Maccabi Playtika Tel Aviv,Baskonia,Fernando Buesa Arena
223,2024-02-02,,EA7 Emporio Armani Milano,Anadolu Efes,Sinan Erdem Dome
224,2024-02-02,,Fenerbahçe Beko,AS Monaco,Location not found
225,2024-02-02,,Barcelona,Crvena zvezda Meridianbet,Location not found
226,2024-02-02,,Partizan Mozzart Bet,Virtus Segafredo Bologna,Location not found
227,2024-02-02,,Panathinaikos,Žalgiris,Žalgirio Arena
228,2024-02-08,,Maccabi Playtika Tel Aviv,Anadolu Efes,Sinan Erdem Dome
229,2023-12-14,,Anadolu Efes,Maccabi Playtika Tel Aviv,Location not found
230,2024-02-08,,Real Madrid,EA7 Emporio Armani Milano,Location not found
231,2024-02-08,,Bayern München,Partizan Mozzart Bet,Location not found
232,2024-02-08,,Olympiacos,Valencia Basket,Pavelló Municipal Font de San Lluís
233,2024-02-08,,LDLC ASVEL,Baskonia,Fernando Buesa Arena
234,2024-02-09,,ALBA Berlin,Barcelona,Palau Blaugrana
235,2024-02-09,,Fenerbahçe Beko,Panathinaikos,O.A.K.A. Olympic Indoor Hall
236,2024-02-09,,Žalgiris,Crvena zvezda Meridianbet,Location not found
237,2024-02-09,,AS Monaco,Virtus Segafredo Bologna,Location not found
238,2024-02-29,,Maccabi Playtika Tel Aviv,ALBA Berlin,Location not found
239,2024-02-29,,Anadolu Efes,Partizan Mozzart Bet,Location not found
240,2024-02-29,,Panathinaikos,Real Madrid,WiZink Center
241,2024-02-29,,Valencia Basket,Virtus Segafredo Bologna,Location not found
242,2024-03-01,,AS Monaco,Barcelona,Palau Blaugrana
243,2024-03-01,,Crvena zvezda Meridianbet,Bayern München,Location not found
244,2024-03-01,,Baskonia,Fenerbahçe Beko,Ülker Sports Arena
245,2024-03-01,,EA7 Emporio Armani Milano,LDLC ASVEL,Astroballe
246,2024-03-01,,Olympiacos,Žalgiris,Žalgirio Arena
247,2024-03-07,,Bayern München,Anadolu Efes,Sinan Erdem Dome
248,2024-03-07,,Žalgiris,Maccabi Playtika Tel Aviv,Location not found
249,2024-03-07,,Crvena zvezda Meridianbet,AS Monaco,Location not found
250,2024-03-07,,Virtus Segafredo Bologna,Olympiacos,Peace and Friendship Stadium
251,2024-03-07,,Fenerbahçe Beko,Real Madrid,WiZink Center
252,2024-03-07,,Barcelona,Valencia Basket,Pavelló Municipal Font de San Lluís
253,2024-03-08,,Partizan Mozzart Bet,EA7 Emporio Armani Milano,Location not found
254,2024-03-08,,LDLC ASVEL,Panathinaikos,O.A.K.A. Olympic Indoor Hall
255,2024-03-08,,ALBA Berlin,Baskonia,Fernando Buesa Arena
256,2024-03-14,,AS Monaco,ALBA Berlin,Location not found
257,2024-03-14,,Partizan Mozzart Bet,Barcelona,Palau Blaugrana
258,2024-03-14,,Panathinaikos,Olympiacos,Peace and Friendship Stadium
259,2024-03-14,,Maccabi Playtika Tel Aviv,Crvena zvezda Meridianbet,Location not found
260,2024-03-14,,Valencia Basket,Fenerbahçe Beko,Ülker Sports Arena
261,2024-03-14,,EA7 Emporio Armani Milano,Baskonia,Fernando Buesa Arena
262,2024-03-15,,Žalgiris,Bayern München,Location not found
263,2024-03-15,,Anadolu Efes,LDLC ASVEL,Astroballe
264,2024-03-15,,Real Madrid,Virtus Segafredo Bologna,Location not found
265,2024-03-19,,Real Madrid,ALBA Berlin,Location not found
266,2024-03-19,,Olympiacos,Anadolu Efes,Sinan Erdem Dome
267,2024-03-19,,LDLC ASVEL,Maccabi Playtika Tel Aviv,Location not found
268,2024-03-19,,Baskonia,Partizan Mozzart Bet,Location not found
269,2024-03-19,,Virtus Segafredo Bologna,Žalgiris,Žalgirio Arena
270,2024-03-20,,EA7 Emporio Armani Milano,AS Monaco,Location not found
271,2024-03-20,,Panathinaikos,Crvena zvezda Meridianbet,Location not found
272,2024-03-20,,Barcelona,Fenerbahçe Beko,Ülker Sports Arena
273,2024-03-20,,Bayern München,Valencia Basket,Pavelló Municipal Font de San Lluís
274,2024-03-21,,ALBA Berlin,Anadolu Efes,Sinan Erdem Dome
275,2024-03-21,,LDLC ASVEL,Olympiacos,Peace and Friendship Stadium
276,2024-03-21,,Real Madrid,Partizan Mozzart Bet,Location not found
277,2024-03-21,,Baskonia,Žalgiris,Žalgirio Arena
278,2024-03-22,,Maccabi Playtika Tel Aviv,Bayern München,Location not found
279,2024-03-22,,Fenerbahçe Beko,EA7 Emporio Armani Milano,Location not found
280,2024-03-22,,Valencia Basket,AS Monaco,Location not found
281,2024-03-22,,Barcelona,Panathinaikos,O.A.K.A. Olympic Indoor Hall
282,2024-03-22,,Virtus Segafredo Bologna,Crvena zvezda Meridianbet,Location not found
283,2024-03-28,,Barcelona,Bayern München,Location not found
284,2024-03-28,,Valencia Basket,Maccabi Playtika Tel Aviv,Location not found
285,2024-03-28,,Olympiacos,Partizan Mozzart Bet,Location not found
286,2023-10-18,,Maccabi Playtika Tel Aviv,Valencia Basket,Pavelló Municipal Font de San Lluís
287,2024-03-28,,AS Monaco,LDLC ASVEL,Astroballe
288,2024-03-28,,Anadolu Efes,Baskonia,Fernando Buesa Arena
289,2024-03-28,,EA7 Emporio Armani Milano,Žalgiris,Žalgirio Arena
290,2024-03-29,,Crvena zvezda Meridianbet,Real Madrid,WiZink Center
291,2024-03-29,,ALBA Berlin,Fenerbahçe Beko,Ülker Sports Arena
292,2024-03-29,,Panathinaikos,Virtus Segafredo Bologna,Location not found
293,2024-04-04,,Partizan Mozzart Bet,ALBA Berlin,Location not found
294,2024-04-04,,Maccabi Playtika Tel Aviv,Barcelona,Palau Blaugrana
295,2024-04-04,,Žalgiris,AS Monaco,Location not found
296,2024-04-04,,Olympiacos,Crvena zvezda Meridianbet,Location not found
297,2024-04-04,,LDLC ASVEL,Valencia Basket,Pavelló Municipal Font de San Lluís
298,2024-04-05,,Panathinaikos,Bayern München,Location not found
299,2024-04-05,,Virtus Segafredo Bologna,EA7 Emporio Armani Milano,Location not found
300,2024-04-05,,Baskonia,Real Madrid,WiZink Center
301,2024-04-05,,Anadolu Efes,Fenerbahçe Beko,Ülker Sports Arena
302,2024-04-11,,Crvena zvezda Meridianbet,Anadolu Efes,Sinan Erdem Dome
303,2024-04-11,,EA7 Emporio Armani Milano,Maccabi Playtika Tel Aviv,Location not found
304,2024-04-11,,Bayern München,AS Monaco,Location not found
305,2024-04-11,,ALBA Berlin,Panathinaikos,O.A.K.A. Olympic Indoor Hall
306,2024-04-11,,Real Madrid,Žalgiris,Žalgirio Arena
307,2024-04-12,,Fenerbahçe Beko,Olympiacos,Peace and Friendship Stadium
308,2024-04-12,,Valencia Basket,Partizan Mozzart Bet,Location not found
309,2024-04-12,,Barcelona,LDLC ASVEL,Astroballe
310,2024-04-12,,Baskonia,Virtus Segafredo Bologna,Location not found
