,Date,Start (ET),Visitor/Neutral,Home/Neutral,Location,Arena
60,2023-11-09,,Virtus Segafredo Bologna,Real Madrid,"Madrid, Spain",WiZink Center
61,2023-11-10,,Panathinaikos,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
62,2023-11-10,,Crvena zvezda Meridianbet,Barcelona,"Barcelona, Spain",Palau Blaugrana
63,2023-11-10,,LDLC ASVEL,AS Monaco,Monaco,Salle Gaston Medecin
64,2023-11-14,,Olympiacos,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
65,2023-11-14,,Anadolu Efes,AS Monaco,Monaco,Salle Gaston Medecin
66,2023-11-14,,Fenerbahçe Beko,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
67,2023-11-14,,Real Madrid,Valencia Basket,"Valencia, Spain",La Fonteta
68,2023-11-14,,EA7 Emporio Armani Milano,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
69,2023-11-15,,LDLC ASVEL,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
70,2023-11-15,,Partizan Mozzart Bet,Bayern München,"Munich, Germany",BMW Park
71,2023-11-15,,Žalgiris,Panathinaikos,"Athens, Greece",OAKA Altion
72,2023-11-15,,Barcelona,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
73,2023-11-16,,Anadolu Efes,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
74,2023-11-16,,Crvena zvezda Meridianbet,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
75,2023-11-16,,AS Monaco,Real Madrid,"Madrid, Spain",WiZink Center
76,2023-11-16,,Maccabi Playtika Tel Aviv,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
77,2023-11-17,,Valencia Basket,Barcelona,"Barcelona, Spain",Palau Blaugrana
78,2023-11-17,,Virtus Segafredo Bologna,Panathinaikos,"Athens, Greece",OAKA Altion
79,2023-11-17,,ALBA Berlin,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
80,2023-11-17,,Baskonia,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
81,2023-11-17,,Bayern München,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
82,2023-11-23,,Barcelona,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
83,2023-11-23,,Valencia Basket,Panathinaikos,"Athens, Greece",OAKA Altion
84,2023-11-23,,ALBA Berlin,Real Madrid,"Madrid, Spain",WiZink Center
85,2023-11-23,,Bayern München,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
86,2023-11-23,,Fenerbahçe Beko,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
87,2023-11-24,,Partizan Mozzart Bet,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
88,2023-11-24,,Žalgiris,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
89,2023-11-24,,EA7 Emporio Armani Milano,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
90,2023-11-24,,AS Monaco,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
91,2023-11-28,,Real Madrid,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
92,2023-11-30,,Virtus Segafredo Bologna,Bayern München,"Munich, Germany",BMW Park
93,2023-11-30,,ALBA Berlin,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
94,2023-11-30,,Olympiacos,AS Monaco,Monaco,Salle Gaston Medecin
95,2023-11-30,,Panathinaikos,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
96,2023-11-30,,Real Madrid,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
97,2023-12-01,,LDLC ASVEL,Barcelona,"Barcelona, Spain",Palau Blaugrana
98,2023-11-30,,Žalgiris,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
99,2023-12-01,,Anadolu Efes,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
100,2023-12-01,,Baskonia,Valencia Basket,"Valencia, Spain",La Fonteta
101,2023-12-05,,Žalgiris,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
102,2023-12-05,,Panathinaikos,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
103,2023-12-05,,EA7 Emporio Armani Milano,Bayern München,"Munich, Germany",BMW Park
104,2023-12-05,,Real Madrid,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
105,2023-12-05,,AS Monaco,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
106,2023-12-06,,Crvena zvezda Meridianbet,Valencia Basket,"Valencia, Spain",La Fonteta
107,2023-12-06,,Maccabi Playtika Tel Aviv,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
108,2023-12-06,,Barcelona,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
109,2023-12-06,,Fenerbahçe Beko,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
110,2023-12-07,,Anadolu Efes,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
111,2023-12-07,,Real Madrid,Panathinaikos,"Athens, Greece",OAKA Altion
112,2023-12-07,,EA7 Emporio Armani Milano,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
113,2023-12-08,,Fenerbahçe Beko,Barcelona,"Barcelona, Spain",Palau Blaugrana
114,2023-12-08,,Bayern München,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
115,2023-12-08,,Valencia Basket,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
116,2023-12-08,,Maccabi Playtika Tel Aviv,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
117,2023-12-08,,Crvena zvezda Meridianbet,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
118,2023-12-08,,AS Monaco,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
119,2023-12-14,,Maccabi Playtika Tel Aviv,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
120,2023-12-14,,Bayern München,Real Madrid,"Madrid, Spain",WiZink Center
121,2023-12-14,,Panathinaikos,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
122,2023-12-14,,Virtus Segafredo Bologna,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
123,2023-12-14,,Partizan Mozzart Bet,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
124,2023-12-15,,EA7 Emporio Armani Milano,Barcelona,"Barcelona, Spain",Palau Blaugrana
125,2023-12-15,,Valencia Basket,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
126,2023-12-14,,ALBA Berlin,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
127,2023-12-15,,AS Monaco,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
128,2023-12-19,,Barcelona,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
129,2023-12-19,,Baskonia,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
130,2023-12-19,,Real Madrid,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
131,2023-12-19,,Partizan Mozzart Bet,Valencia Basket,"Valencia, Spain",La Fonteta
132,2023-12-19,,Olympiacos,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
133,2023-12-20,,Anadolu Efes,Bayern München,"Munich, Germany",BMW Park
134,2023-12-20,,LDLC ASVEL,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
135,2023-12-20,,Panathinaikos,AS Monaco,Monaco,Salle Gaston Medecin
136,2023-12-20,,Žalgiris,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
137,2023-12-21,,Crvena zvezda Meridianbet,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
138,2023-12-21,,Partizan Mozzart Bet,Real Madrid,"Madrid, Spain",WiZink Center
139,2023-12-21,,Virtus Segafredo Bologna,Valencia Basket,"Valencia, Spain",La Fonteta
140,2023-12-22,,Fenerbahçe Beko,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
141,2023-12-22,,Baskonia,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
142,2023-12-22,,AS Monaco,Bayern München,"Munich, Germany",BMW Park
143,2023-12-22,,Panathinaikos,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
144,2023-12-22,,Olympiacos,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
145,2023-12-22,,Barcelona,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
146,2023-12-28,,Fenerbahçe Beko,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
147,2023-12-28,,Valencia Basket,Bayern München,"Munich, Germany",BMW Park
148,2023-12-28,,Baskonia,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
149,2023-12-28,,Crvena zvezda Meridianbet,Panathinaikos,"Athens, Greece",OAKA Altion
150,2023-12-28,,Real Madrid,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
151,2023-12-28,,Maccabi Playtika Tel Aviv,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
152,2023-12-29,,Olympiacos,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
153,2023-12-29,,Barcelona,AS Monaco,Monaco,Salle Gaston Medecin
154,2023-12-28,,Virtus Segafredo Bologna,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
155,2024-01-02,,AS Monaco,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
156,2024-01-02,,EA7 Emporio Armani Milano,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
157,2024-01-02,,LDLC ASVEL,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
158,2024-01-02,,Crvena zvezda Meridianbet,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
159,2024-01-02,,ALBA Berlin,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
160,2024-01-03,,Real Madrid,Barcelona,"Barcelona, Spain",Palau Blaugrana
161,2024-01-03,,Anadolu Efes,Valencia Basket,"Valencia, Spain",La Fonteta
162,2024-01-03,,Bayern München,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
163,2024-01-03,,Panathinaikos,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
164,2023-11-16,,Fenerbahçe Beko,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
165,2024-01-04,,AS Monaco,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
166,2024-01-04,,Partizan Mozzart Bet,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
167,2024-01-04,,Maccabi Playtika Tel Aviv,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
168,2024-01-04,,Žalgiris,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
169,2024-01-05,,Virtus Segafredo Bologna,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
170,2024-01-05,,Baskonia,Barcelona,"Barcelona, Spain",Palau Blaugrana
171,2024-01-05,,Bayern München,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
172,2024-01-05,,Anadolu Efes,Real Madrid,"Madrid, Spain",WiZink Center
173,2024-01-05,,Panathinaikos,Valencia Basket,"Valencia, Spain",La Fonteta
174,2024-01-09,,Real Madrid,Bayern München,"Munich, Germany",BMW Park
175,2024-01-09,,ALBA Berlin,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
176,2024-01-09,,Baskonia,AS Monaco,Monaco,Salle Gaston Medecin
177,2024-01-09,,Anadolu Efes,Panathinaikos,"Athens, Greece",OAKA Altion
178,2024-01-09,,Partizan Mozzart Bet,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
179,2024-01-09,,Žalgiris,Valencia Basket,"Valencia, Spain",La Fonteta
180,2024-01-09,,Crvena zvezda Meridianbet,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
181,2024-01-10,,Olympiacos,Barcelona,"Barcelona, Spain",Palau Blaugrana
182,2024-01-10,,Virtus Segafredo Bologna,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
183,2024-01-11,,Crvena zvezda Meridianbet,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
184,2024-01-11,,AS Monaco,Panathinaikos,"Athens, Greece",OAKA Altion
185,2024-01-11,,Valencia Basket,Real Madrid,"Madrid, Spain",WiZink Center
186,2024-01-11,,Bayern München,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
187,2024-01-12,,Virtus Segafredo Bologna,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
188,2024-01-12,,Žalgiris,Barcelona,"Barcelona, Spain",Palau Blaugrana
189,2024-01-12,,Maccabi Playtika Tel Aviv,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
190,2024-01-12,,ALBA Berlin,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
191,2024-01-12,,Olympiacos,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
192,2024-01-18,,Bayern München,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
193,2024-01-18,,Barcelona,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
194,2024-01-18,,Maccabi Playtika Tel Aviv,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
195,2024-01-18,,Baskonia,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
196,2024-01-18,,LDLC ASVEL,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
197,2024-01-19,,Real Madrid,AS Monaco,Monaco,Salle Gaston Medecin
198,2024-01-19,,Partizan Mozzart Bet,Panathinaikos,"Athens, Greece",OAKA Altion
199,2024-01-19,,EA7 Emporio Armani Milano,Valencia Basket,"Valencia, Spain",La Fonteta
200,2024-01-19,,Fenerbahçe Beko,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
201,2024-01-25,,Crvena zvezda Meridianbet,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
202,2024-01-25,,LDLC ASVEL,Bayern München,"Munich, Germany",BMW Park
203,2024-01-25,,Panathinaikos,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
204,2024-01-25,,Olympiacos,Real Madrid,"Madrid, Spain",WiZink Center
205,2024-01-25,,Virtus Segafredo Bologna,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
206,2024-01-26,,AS Monaco,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
207,2024-01-26,,Barcelona,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
208,2024-01-26,,Žalgiris,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
209,2024-01-26,,Valencia Basket,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
210,2024-01-30,,Baskonia,Bayern München,"Munich, Germany",BMW Park
211,2024-01-30,,ALBA Berlin,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
212,2024-01-30,,Maccabi Playtika Tel Aviv,Real Madrid,"Madrid, Spain",WiZink Center
213,2024-01-30,,Valencia Basket,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
214,2024-01-30,,Fenerbahçe Beko,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
215,2024-01-31,,Virtus Segafredo Bologna,Barcelona,"Barcelona, Spain",Palau Blaugrana
216,2024-01-31,,Partizan Mozzart Bet,AS Monaco,Monaco,Salle Gaston Medecin
217,2024-01-31,,EA7 Emporio Armani Milano,Panathinaikos,"Athens, Greece",OAKA Altion
218,2024-01-31,,Anadolu Efes,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
219,2024-02-01,,Valencia Basket,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
220,2024-02-01,,Olympiacos,Bayern München,"Munich, Germany",BMW Park
221,2024-02-01,,LDLC ASVEL,Real Madrid,"Madrid, Spain",WiZink Center
222,2024-02-01,,Maccabi Playtika Tel Aviv,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
223,2024-02-02,,EA7 Emporio Armani Milano,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
224,2024-02-02,,Fenerbahçe Beko,AS Monaco,Monaco,Salle Gaston Medecin
225,2024-02-02,,Barcelona,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
226,2024-02-02,,Partizan Mozzart Bet,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
227,2024-02-02,,Panathinaikos,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
228,2024-02-08,,Maccabi Playtika Tel Aviv,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
229,2023-12-14,,Anadolu Efes,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
230,2024-02-08,,Real Madrid,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
231,2024-02-08,,Bayern München,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
232,2024-02-08,,Olympiacos,Valencia Basket,"Valencia, Spain",La Fonteta
233,2024-02-08,,LDLC ASVEL,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
234,2024-02-09,,ALBA Berlin,Barcelona,"Barcelona, Spain",Palau Blaugrana
235,2024-02-09,,Fenerbahçe Beko,Panathinaikos,"Athens, Greece",OAKA Altion
236,2024-02-09,,Žalgiris,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
237,2024-02-09,,AS Monaco,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
238,2024-02-29,,Maccabi Playtika Tel Aviv,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
239,2024-02-29,,Anadolu Efes,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
240,2024-02-29,,Panathinaikos,Real Madrid,"Madrid, Spain",WiZink Center
241,2024-02-29,,Valencia Basket,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
242,2024-03-01,,AS Monaco,Barcelona,"Barcelona, Spain",Palau Blaugrana
243,2024-03-01,,Crvena zvezda Meridianbet,Bayern München,"Munich, Germany",BMW Park
244,2024-03-01,,Baskonia,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
245,2024-03-01,,EA7 Emporio Armani Milano,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
246,2024-03-01,,Olympiacos,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
247,2024-03-07,,Bayern München,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
248,2024-03-07,,Žalgiris,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
249,2024-03-07,,Crvena zvezda Meridianbet,AS Monaco,Monaco,Salle Gaston Medecin
250,2024-03-07,,Virtus Segafredo Bologna,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
251,2024-03-07,,Fenerbahçe Beko,Real Madrid,"Madrid, Spain",WiZink Center
252,2024-03-07,,Barcelona,Valencia Basket,"Valencia, Spain",La Fonteta
253,2024-03-08,,Partizan Mozzart Bet,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
254,2024-03-08,,LDLC ASVEL,Panathinaikos,"Athens, Greece",OAKA Altion
255,2024-03-08,,ALBA Berlin,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
256,2024-03-14,,AS Monaco,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
257,2024-03-14,,Partizan Mozzart Bet,Barcelona,"Barcelona, Spain",Palau Blaugrana
258,2024-03-14,,Panathinaikos,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
259,2024-03-14,,Maccabi Playtika Tel Aviv,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
260,2024-03-14,,Valencia Basket,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
261,2024-03-14,,EA7 Emporio Armani Milano,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
262,2024-03-15,,Žalgiris,Bayern München,"Munich, Germany",BMW Park
263,2024-03-15,,Anadolu Efes,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
264,2024-03-15,,Real Madrid,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
265,2024-03-19,,Real Madrid,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
266,2024-03-19,,Olympiacos,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
267,2024-03-19,,LDLC ASVEL,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
268,2024-03-19,,Baskonia,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
269,2024-03-19,,Virtus Segafredo Bologna,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
270,2024-03-20,,EA7 Emporio Armani Milano,AS Monaco,Monaco,Salle Gaston Medecin
271,2024-03-20,,Panathinaikos,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
272,2024-03-20,,Barcelona,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
273,2024-03-20,,Bayern München,Valencia Basket,"Valencia, Spain",La Fonteta
274,2024-03-21,,ALBA Berlin,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
275,2024-03-21,,LDLC ASVEL,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
